"Informazioni cronologiche","Come valuti la chiarezza dell' infografica?","Come valuti l'utilità dell'infografica?","Quanto valuti la bellezza dell'infografica?","Come valuti l'intuitività dell'infografica?","Quanto è stata informativa l'infografica?","Come valuti complessivamente l'infografica?"
"2020/06/11 10:26:28 AM EET","5","5","5","4","5","5"
"2020/06/11 4:47:08 PM EET","6","6","6","6","6","6"
"2020/06/11 4:53:49 PM EET","5","6","6","5","5","5"
"2020/06/11 6:08:46 PM EET","6","5","5","6","6","6"
"2020/06/11 6:40:26 PM EET","4","6","6","5","6","6"
"2020/06/12 5:55:42 PM EET","4","3","3","4","4","3"
"2020/06/12 6:35:54 PM EET","6","5","6","5","5","6"
"2020/06/12 9:48:18 PM EET","6","4","6","4","5","6"
"2020/06/13 6:58:56 PM EET","5","6","4","6","6","6"
"2020/06/13 7:57:34 PM EET","4","6","3","3","6","4"
"2020/06/14 3:35:07 PM EET","4","5","5","3","4","4"
"2020/06/14 8:09:31 PM EET","5","3","4","5","5","5"
"2020/06/14 8:12:16 PM EET","4","4","2","3","3","3"
"2020/06/14 8:15:28 PM EET","6","6","6","5","6","6"
"2020/06/14 9:56:17 PM EET","4","4","5","3","4","4"
"2020/06/16 11:35:18 AM EET","5","6","5","6","6","5"
"2020/06/16 1:03:26 PM EET","5","3","3","5","4","5"
"2020/06/16 2:06:54 PM EET","4","3","5","5","4","4"
"2020/06/16 5:32:50 PM EET","4","5","5","4","5","5"
"2020/06/16 10:45:12 PM EET","4","3","4","3","4","4"
"2020/06/17 2:09:09 AM EET","6","6","6","6","6","6"
"2020/06/17 11:29:02 AM EET","6","6","5","6","6","6"
"2020/06/17 12:16:18 PM EET","5","4","4","4","4","4"
"2020/06/17 12:53:28 PM EET","5","5","5","5","5","5"
"2020/06/17 1:23:52 PM EET","5","6","4","5","6","5"
"2020/06/17 1:35:02 PM EET","6","6","5","6","6","6"